title,brand,price,rating,votes,sales_last_month,image_url,url,has_reviews,category,rank,scraped_at
"Garmin – Forerunner 55 - Montre GPS multi-activités running avec fonctions d’entrainement Garmin Coach et cardio au poignet – Noire, TU EU",Garmin,138.99,4.6,6536.0,1.0,https://m.media-amazon.com/images/I/61eTqEILa9L._AC_UL320_.jpg,https://www.amazon.fr/Garmin-Forerunner-multi-activit%C3%A9s-fonctions-dentrainement/dp/B0953X73TP/ref=sr_1_1,True,Objets connectés,1,2025-06-24 15:18:07.300285
Garmin Forerunner 255 - Montre GPS Multisports connectée de Running – Gray - Boîtier 46 mm,Garmin,203.99,4.5,1692.0,700.0,https://m.media-amazon.com/images/I/71tjy7Umf0L._AC_UL320_.jpg,https://www.amazon.fr/Garmin-GPS-Forerunner-255-Gris/dp/B0B46N7QQL/ref=sr_1_2,True,Objets connectés,2,2025-06-24 15:18:07.302548
"Insta360 X5 - caméra d'action 360° 8K étanche, Basse lumière de Pointe, Perche à Selfie Invisible, objectifs Robustes et remplaçables, 3h d'autonomie, Pare-Vent intégré, stabilisation, Triple Puce IA",Insta360,589.99,4.5,559.0,300.0,https://m.media-amazon.com/images/I/71YjsbkkO9L._AC_UL320_.jpg,https://www.amazon.fr/Insta360-Invisible-rempla%C3%A7ables-dautonomie-stabilisation/dp/B0DZCBYCNY/ref=sr_1_3,True,Objets connectés,3,2025-06-24 15:18:07.304528
"Garmin Forerunner 255, Music - Montre GPS Multisports connectée de Running – Noire – Boitier 46 mm",Garmin,244.0,4.5,616.0,700.0,https://m.media-amazon.com/images/I/51BxNNStkyL._AC_UL320_.jpg,https://www.amazon.fr/Garmin-Forerunner-255-Music-BK/dp/B0B2WY7TTH/ref=sr_1_4,True,Objets connectés,4,2025-06-24 15:18:07.306129
"Garmin Forerunner 255 – GPS-Laufuhr mit individuellen Trainingsplänen, speziellen Lauffunktionen und detaillierter Trainingsanalyse. 1,1“ & 1,3"" Farbdisplay, Akkulaufzeit bis zu 14 Tage",Garmin,203.99,4.6,663.0,400.0,https://m.media-amazon.com/images/I/51oM3U58x2L._AC_UL320_.jpg,https://www.amazon.fr/Garmin-GPS-Forerunner-255-Bleu/dp/B0B553HT2B/ref=sr_1_5,True,Objets connectés,5,2025-06-24 15:18:07.307254
"Garmin – Forerunner 55 - Montre GPS multi-activités running avec fonctions d’entrainement Garmin Coach et cardio au poignet – Blanche, Whitestone",Garmin,138.99,4.6,1389.0,300.0,https://m.media-amazon.com/images/I/51O-7CDSSML._AC_UL320_.jpg,https://www.amazon.fr/Garmin-Forerunner-multi-activit%C3%A9s-fonctions-dentrainement/dp/B0953XKD13/ref=sr_1_6,True,Objets connectés,6,2025-06-24 15:18:07.308975
"Samsung R630 Galaxy Buds3 Pro, Silver",Samsung,169.74,4.1,574.0,300.0,https://m.media-amazon.com/images/I/71hvvK6bATL._AC_UL320_.jpg,https://www.amazon.fr/Samsung-R630-Galaxy-Buds3-Silver/dp/B0D47MDKVP/ref=sr_1_7,True,Objets connectés,7,2025-06-24 15:18:07.310732
"Garmin Forerunner 255, Music - Montre GPS Multisports connectée de Running – Blanche – Boîtier 46 mm",Garmin,243.99,4.5,166.0,200.0,https://m.media-amazon.com/images/I/51LVczCIWJL._AC_UL320_.jpg,https://www.amazon.fr/Garmin-Forerunner-255-Music-wh/dp/B0B3S49R32/ref=sr_1_8,True,Objets connectés,8,2025-06-24 15:18:07.313028
"Samsung Galaxy Buds FE Écouteurs sans Fil, Réduction Active du Bruit, Ajustement Confortable, 3 Micros, Commande Tactile, Basses Profondes, Graphite, Version FR",Samsung,65.64,4.3,483.0,200.0,https://m.media-amazon.com/images/I/51MaNu1aGhL._AC_UL320_.jpg,https://www.amazon.fr/%C3%89couteurs-R%C3%A9duction-Ajustement-confortable-profondes/dp/B0CHBPHSPC/ref=sr_1_9,True,Objets connectés,9,2025-06-24 15:18:07.314229
"GoPro HERO13 Black - Caméra d'action étanche avec vidéo 5.3K60, Photo 27MP + compatibilité avec Les objectifs de la série HB",GoPro,423.59,4.5,1090.0,100.0,https://m.media-amazon.com/images/I/615eTO83jLL._AC_UL320_.jpg,https://www.amazon.fr/GoPro-HERO13-Black-compatibilit%C3%A9-objectifs/dp/B0DCQVQDQ7/ref=sr_1_10,True,Objets connectés,10,2025-06-24 15:18:07.316412
"OMRON RS1 Tensiomètre automatique au poignet pour un usage domestique ou en déplacement – Validé cliniquement, tensiomètre avec brassard préformé 13,5 – 21,5 cm, guide d'enveloppement du brassard",OMRON,24.99,4.5,2951.0,700.0,https://m.media-amazon.com/images/I/7171ItqeJfL._AC_UL320_.jpg,https://www.amazon.fr/OMRON-Tensiom%C3%A8tre-Poignet-pr%C3%A9cision-cliniquement/dp/B07LGVPVPJ/ref=sr_1_11,True,Objets connectés,11,2025-06-24 15:18:07.319291
