title,brand,price,rating,votes,sales_last_month,image_url,url,prime,category,rank,scraped_at
"Garmin – Forerunner 55 - Montre GPS multi-activités running avec fonctions d’entrainement Garmin Coach et cardio au poignet – Noire, TU EU",Garmin,138.99,4.6,6532.0,1.0,https://m.media-amazon.com/images/I/61eTqEILa9L._AC_UL320_.jpg,,False,Objets connectés,1,2025-06-24 11:51:47.704474
Garmin Forerunner 255 - Montre GPS Multisports connectée de Running – Gray - Boîtier 46 mm,Garmin,203.99,4.5,1690.0,700.0,https://m.media-amazon.com/images/I/71tjy7Umf0L._AC_UL320_.jpg,,False,Objets connectés,2,2025-06-24 11:51:47.705429
"Garmin Forerunner 255, Music - Montre GPS Multisports connectée de Running – Noire – Boitier 46 mm",Garmin,244.0,4.5,616.0,700.0,https://m.media-amazon.com/images/I/51BxNNStkyL._AC_UL320_.jpg,,False,Objets connectés,3,2025-06-24 11:51:47.706346
"Insta360 X5 - caméra d'action 360° 8K étanche, Basse lumière de Pointe, Perche à Selfie Invisible, objectifs Robustes et remplaçables, 3h d'autonomie, Pare-Vent intégré, stabilisation, Triple Puce IA",Insta360,589.99,4.5,557.0,300.0,https://m.media-amazon.com/images/I/71YjsbkkO9L._AC_UL320_.jpg,,False,Objets connectés,4,2025-06-24 11:51:47.707261
"Garmin Forerunner 255 – GPS-Laufuhr mit individuellen Trainingsplänen, speziellen Lauffunktionen und detaillierter Trainingsanalyse. 1,1“ & 1,3"" Farbdisplay, Akkulaufzeit bis zu 14 Tage",Garmin,203.99,4.6,662.0,400.0,https://m.media-amazon.com/images/I/51oM3U58x2L._AC_UL320_.jpg,,False,Objets connectés,5,2025-06-24 11:51:47.708168
"Garmin – Forerunner 55 - Montre GPS multi-activités running avec fonctions d’entrainement Garmin Coach et cardio au poignet – Blanche, Whitestone",Garmin,138.99,4.6,1389.0,300.0,https://m.media-amazon.com/images/I/51O-7CDSSML._AC_UL320_.jpg,,False,Objets connectés,6,2025-06-24 11:51:47.710614
"Samsung R630 Galaxy Buds3 Pro, Silver",Samsung,173.49,4.1,571.0,300.0,https://m.media-amazon.com/images/I/71hvvK6bATL._AC_UL320_.jpg,,False,Objets connectés,7,2025-06-24 11:51:47.712606
"Garmin Forerunner 255, Music - Montre GPS Multisports connectée de Running – Blanche – Boîtier 46 mm",Garmin,243.99,4.5,165.0,200.0,https://m.media-amazon.com/images/I/51LVczCIWJL._AC_UL320_.jpg,,False,Objets connectés,8,2025-06-24 11:51:47.713910
"Samsung Galaxy Buds FE Écouteurs sans Fil, Réduction Active du Bruit, Ajustement Confortable, 3 Micros, Commande Tactile, Basses Profondes, Graphite, Version FR",Samsung,65.64,4.3,483.0,200.0,https://m.media-amazon.com/images/I/51MaNu1aGhL._AC_UL320_.jpg,,False,Objets connectés,9,2025-06-24 11:51:47.715278
"GoPro HERO13 Black - Caméra d'action étanche avec vidéo 5.3K60, Photo 27MP + compatibilité avec Les objectifs de la série HB",GoPro,423.59,4.5,1088.0,100.0,https://m.media-amazon.com/images/I/615eTO83jLL._AC_UL320_.jpg,,False,Objets connectés,10,2025-06-24 11:51:47.716332
"OMRON RS1 Tensiomètre automatique au poignet pour un usage domestique ou en déplacement – Validé cliniquement, tensiomètre avec brassard préformé 13,5 – 21,5 cm, guide d'enveloppement du brassard",OMRON,24.99,4.5,2951.0,700.0,https://m.media-amazon.com/images/I/7171ItqeJfL._AC_UL320_.jpg,,False,Objets connectés,11,2025-06-24 11:51:47.717420
"GoPro HERO12 Black - Caméra d'action étanche avec vidéo Ultra HD 5.3K60, Photos 27MP, HDR, capteur d'image 1/1.9"", Diffusion en Direct, Webcam, stabilisation",GoPro,355.23,4.6,4776.0,100.0,https://m.media-amazon.com/images/I/41Yf9ZT2pNL._AC_UL320_.jpg,,False,Objets connectés,12,2025-06-24 11:51:47.718601
Weenect Chat XS - Nouveau Collier GPS pour Chat | Mini Traceur GPS Chat en Temps réel | Plus Petit modèle du marché | Fonctionne avec abonnement | Collier Inclus | Garantie à Vie,Weenect,49.99,4.3,1102.0,400.0,https://m.media-amazon.com/images/I/718N2YNSOVL._AC_UL320_.jpg,,False,Objets connectés,13,2025-06-24 11:51:47.720225
"DJI Bundle Osmo Action 4 Essentiel - Caméra d’Action étanche 4K/120 IPS avec capteur 1/1,3 Pouce, des Images saisissantes en Basse lumière, des Couleurs D-Log M 10 Bits, Batterie 1 770 mAh prolongée",DJI,255.53,4.4,4096.0,200.0,https://m.media-amazon.com/images/I/61uLqcKyOcL._AC_UL320_.jpg,,False,Objets connectés,14,2025-06-24 11:51:47.721331
"Ecouteurs Bluetooth sans Fil, kauguo Oreillette Bluetooth 5.4 avec 4 ENC Réduction Antibruit Casque HiFi Stéréo Basses 42H Durée Écran LED Écouteurs sans Fil IPX6 Étanche Sport pour iOS Android, Blanc",Ecouteurs,19.99,4.7,138.0,500.0,https://m.media-amazon.com/images/I/61AYm-VTJpL._AC_UL320_.jpg,,False,Objets connectés,15,2025-06-24 11:51:47.722560
"Anker soundcore 2 Enceinte Bluetooth, Enceinte Bluetooth Puissante sans Fil avec Basses Puissantes, Autonomie de 24 Heures, Porté de 20 m, Etanche Waterproof IPX7 et Microphone Intégré",Anker,27.99,4.5,123052.0,400.0,https://m.media-amazon.com/images/I/614l20nEhmL._AC_UL320_.jpg,,False,Objets connectés,16,2025-06-24 11:51:47.723414
"Garmin – Forerunner 55 - Montre GPS multi-activités running avec fonctions d’entrainement Garmin Coach et cardio au poignet – Vert d’eau, TU EU",Garmin,138.99,4.6,921.0,100.0,https://m.media-amazon.com/images/I/51NvyLl+xLL._AC_UL320_.jpg,,False,Objets connectés,17,2025-06-24 11:51:47.724966
"DJI Bundle Aventure Osmo Action 5 Pro, Caméra d’Action 4K avec Capteur 1/1,3"", 12 h d’Autonomie Étendue avec 3 Batt., Stabilisation, Double Écran Tactile OLED, Mini Caméra d’Action pour Voyage, Vlog",DJI,478.98,4.5,1528.0,50.0,https://m.media-amazon.com/images/I/71FdBD3y0rL._AC_UL320_.jpg,,False,Objets connectés,18,2025-06-24 11:51:47.728378
"Jabra Speak 510 Speaker — Portable Bluetooth Speaker, Conference Speaker — Connects to Laptops, Smartphones and Tablets — USB Plug",Jabra,122.61,4.6,6014.0,100.0,https://m.media-amazon.com/images/I/61fjL51+TdL._AC_UL320_.jpg,,False,Objets connectés,19,2025-06-24 11:51:47.729741
"Écouteurs Bluetooth 5.3, Écouteur sans Fil avec 4 ENC Réduction Antibruit Mic Casque Bluetooth Hi-FI Son Stéréo, 36 Heures Durée de Lecture, IP7 Etanche, Écran LED, Contrôle Tactile",Écouteurs,23.99,4.4,50118.0,500.0,https://m.media-amazon.com/images/I/61PoM+ECNmL._AC_UL320_.jpg,,False,Objets connectés,20,2025-06-24 11:51:47.731453
"AKASO EK7000 Caméra Sport 4K 30fps 20MP WiFi avec Carte Mémoire microSDXC 64 Go, Action Camera 4k Étanche jusqu'à 30M avec Stabilisation Grand Angle de 170° Télécommande 2.4G",AKASO,79.99,4.2,13356.0,200.0,https://m.media-amazon.com/images/I/71ka3ZwL5LL._AC_UL320_.jpg,,False,Objets connectés,21,2025-06-24 11:51:47.733580
