title,price,rating,votes,sales_last_month,image_url,url,prime,scraped_at,categorie,published_date,full_title,categorie_principale,categorie_secondaire
"DJI Osmo Pocket 3 Créateur Bundle, camera vlog CMOS 1'' et Vidéo 4K/120 ips, digital et petite, Stabilisation à 3 axes, Suivi Facial/Objet, MAP rapide, avec Micro pour un Son net",679.0,4.6,5304.0,500.0,https://m.media-amazon.com/images/I/51mX1K3tM0L._AC_UL320_.jpg,https://www.amazon.fr/DJI-Cr%C3%A9ateur-Vlogging-Stabilisation-Photographie/dp/B0CG19FGQ5/ref=sr_1_1?dib=eyJ2IjoiMSJ9.sH279KQkQ1iFsY7p5X2l8qovWZzYCSDlp3a0ud5chXkYWctVPcxd4vHPPij8-RAvz4kouiQV4Ls_b_wnzQgwZgvjMjtVJHHi1jILvP9Jww406O05uXf6nmT5oSTVO-D2mPIxAIfsJS5UsLgxqBl8bXKJmTh3hyWS72sxxTsAkSNwoXGzJGPREapQ74XIC5tXojc5O0Iw3TVoA67Eq4FY-VYhAUwQFlOlce3hwoKXsr49O5PnBdKmjz6zWEe_OrkCyAeUZVbfqHDL00z2Hwvfzy_kOUARlIzh1V5pzDBUwVQ.kzBY0C3vkobi0PcGgYsewhroWfeHjiYftCffsF726M0&dib_tag=se&qid=1752657317&s=electronics&sr=1-1&srs=4551203031,False,2025-07-16 11:15:22.088608,"['High-Tech', 'Photo et caméscopes', 'Caméras embarquées']",25 octobre 2023,"DJI Osmo Pocket 3 Créateur Bundle, camera vlog CMOS 1'' et Vidéo 4K/120 ips, digital et petite, Stabilisation à 3 axes, Suivi Facial/Objet, MAP rapide, avec Micro pour un Son net",437 en High-Tech ( Voir les 100 premiers en High-Tech ),2 en Caméras embarquées
"DJI Bundle Essentiel Osmo Action 5 Pro, Caméra Étanche avec Capteur 1/1,3"", Vidéo 4K/120 IPS, Suivi de Sujet, Stabilisation, Double Écran Tactile OLED, Caméra d’Action 4K Idéale pour Sports, Vlog",279.0,4.5,1709.0,400.0,https://m.media-amazon.com/images/I/71LN4iT1PqL._AC_UL320_.jpg,https://www.amazon.fr/DJI-Essentiel-%C3%89tanche-Capteur-Stabilisation/dp/B0DS2DF5S5/ref=sr_1_2?dib=eyJ2IjoiMSJ9.sH279KQkQ1iFsY7p5X2l8qovWZzYCSDlp3a0ud5chXkYWctVPcxd4vHPPij8-RAvz4kouiQV4Ls_b_wnzQgwZgvjMjtVJHHi1jILvP9Jww406O05uXf6nmT5oSTVO-D2mPIxAIfsJS5UsLgxqBl8bXKJmTh3hyWS72sxxTsAkSNwoXGzJGPREapQ74XIC5tXojc5O0Iw3TVoA67Eq4FY-VYhAUwQFlOlce3hwoKXsr49O5PnBdKmjz6zWEe_OrkCyAeUZVbfqHDL00z2Hwvfzy_kOUARlIzh1V5pzDBUwVQ.kzBY0C3vkobi0PcGgYsewhroWfeHjiYftCffsF726M0&dib_tag=se&qid=1752657317&s=electronics&sr=1-2&srs=4551203031,False,2025-07-16 11:15:22.089064,"['High-Tech', 'Photo et caméscopes', 'Appareils photo et caméras étanche', 'Caméras étanches']",24 février 2025,"DJI Bundle Essentiel Osmo Action 5 Pro, Caméra Étanche avec Capteur 1/1,3"", Vidéo 4K/120 IPS, Suivi de Sujet, Stabilisation, Double Écran Tactile OLED, Caméra d’Action 4K Idéale pour Sports, Vlog",729 en High-Tech ( Voir les 100 premiers en High-Tech ),2 en Caméras étanches
"Garmin – Forerunner 55 - Montre GPS multi-activités running avec fonctions d’entrainement Garmin Coach et cardio au poignet – Noire, TU EU",0.0,4.6,6642.0,900.0,https://m.media-amazon.com/images/I/61eTqEILa9L._AC_UL320_.jpg,https://www.amazon.fr/Garmin-Forerunner-multi-activit%C3%A9s-fonctions-dentrainement/dp/B0953X73TP/ref=sr_1_3?dib=eyJ2IjoiMSJ9.sH279KQkQ1iFsY7p5X2l8qovWZzYCSDlp3a0ud5chXkYWctVPcxd4vHPPij8-RAvz4kouiQV4Ls_b_wnzQgwZgvjMjtVJHHi1jILvP9Jww406O05uXf6nmT5oSTVO-D2mPIxAIfsJS5UsLgxqBl8bXKJmTh3hyWS72sxxTsAkSNwoXGzJGPREapQ74XIC5tXojc5O0Iw3TVoA67Eq4FY-VYhAUwQFlOlce3hwoKXsr49O5PnBdKmjz6zWEe_OrkCyAeUZVbfqHDL00z2Hwvfzy_kOUARlIzh1V5pzDBUwVQ.kzBY0C3vkobi0PcGgYsewhroWfeHjiYftCffsF726M0&dib_tag=se&qid=1752657317&s=electronics&sr=1-3&srs=4551203031,False,2025-07-16 11:15:22.089468,"['Sports et Loisirs', 'Électronique', 'GPS', 'GPS de running']",16 juin 2021,"Garmin – Forerunner 55 - Montre GPS multi-activités running avec fonctions d’entrainement Garmin Coach et cardio au poignet – Noire, TU EU",44 en Sports et Loisirs ( Voir les 100 premiers en Sports et Loisirs ),1 en GPS de running
"Insta360 X5 - caméra d'action 360° 8K étanche, Basse lumière de Pointe, Perche à Selfie Invisible, objectifs Robustes et remplaçables, 3h d'autonomie, Pare-Vent intégré, stabilisation, Triple Puce IA",589.99,4.5,740.0,300.0,https://m.media-amazon.com/images/I/61m2oUob8NL._AC_UL320_.jpg,https://www.amazon.fr/Insta360-Invisible-rempla%C3%A7ables-dautonomie-stabilisation/dp/B0DZCBYCNY/ref=sr_1_4?dib=eyJ2IjoiMSJ9.sH279KQkQ1iFsY7p5X2l8qovWZzYCSDlp3a0ud5chXkYWctVPcxd4vHPPij8-RAvz4kouiQV4Ls_b_wnzQgwZgvjMjtVJHHi1jILvP9Jww406O05uXf6nmT5oSTVO-D2mPIxAIfsJS5UsLgxqBl8bXKJmTh3hyWS72sxxTsAkSNwoXGzJGPREapQ74XIC5tXojc5O0Iw3TVoA67Eq4FY-VYhAUwQFlOlce3hwoKXsr49O5PnBdKmjz6zWEe_OrkCyAeUZVbfqHDL00z2Hwvfzy_kOUARlIzh1V5pzDBUwVQ.kzBY0C3vkobi0PcGgYsewhroWfeHjiYftCffsF726M0&dib_tag=se&qid=1752657317&s=electronics&sr=1-4&srs=4551203031,False,2025-07-16 11:15:22.089805,"['High-Tech', 'Photo et caméscopes', 'Caméras embarquées']",22 avril 2025,"Insta360 X5 - caméra d'action 360° 8K étanche, Basse lumière de Pointe, Perche à Selfie Invisible, objectifs Robustes et remplaçables, 3h d'autonomie, Pare-Vent intégré, stabilisation, Triple Puce IA",1 049 en High-Tech ( Voir les 100 premiers en High-Tech ),6 en Caméras embarquées
"Insta360 X5 Pack Essentiels - caméra d'action 360° 8K étanche, Basse lumière de Pointe, Perche à Selfie Invisible, objectifs Robustes et remplaçables, 3h d'autonomie, Pare-Vent intégré, stabilisation",699.99,4.5,740.0,300.0,https://m.media-amazon.com/images/I/71NlchaTFyL._AC_UL320_.jpg,https://www.amazon.fr/Insta360-Pack-Essentiels-rempla%C3%A7ables-stabilisation/dp/B0DZCC9383/ref=sr_1_5?dib=eyJ2IjoiMSJ9.sH279KQkQ1iFsY7p5X2l8qovWZzYCSDlp3a0ud5chXkYWctVPcxd4vHPPij8-RAvz4kouiQV4Ls_b_wnzQgwZgvjMjtVJHHi1jILvP9Jww406O05uXf6nmT5oSTVO-D2mPIxAIfsJS5UsLgxqBl8bXKJmTh3hyWS72sxxTsAkSNwoXGzJGPREapQ74XIC5tXojc5O0Iw3TVoA67Eq4FY-VYhAUwQFlOlce3hwoKXsr49O5PnBdKmjz6zWEe_OrkCyAeUZVbfqHDL00z2Hwvfzy_kOUARlIzh1V5pzDBUwVQ.kzBY0C3vkobi0PcGgYsewhroWfeHjiYftCffsF726M0&dib_tag=se&qid=1752657317&s=electronics&sr=1-5&srs=4551203031,False,2025-07-16 11:15:22.090208,"['High-Tech', 'Photo et caméscopes', 'Caméras embarquées']",22 avril 2025,"Insta360 X5 Pack Essentiels - caméra d'action 360° 8K étanche, Basse lumière de Pointe, Perche à Selfie Invisible, objectifs Robustes et remplaçables, 3h d'autonomie, Pare-Vent intégré, stabilisation",1 053 en High-Tech ( Voir les 100 premiers en High-Tech ),7 en Caméras embarquées
"GoPro HERO12 Black - Caméra d'action étanche avec vidéo Ultra HD 5.3K60, Photos 27MP, HDR, capteur d'image 1/1.9"", Diffusion en Direct, Webcam, stabilisation",299.0,4.6,4871.0,300.0,https://m.media-amazon.com/images/I/41Yf9ZT2pNL._AC_UL320_.jpg,https://www.amazon.fr/GoPro-HERO12-Black-Diffusion-stabilisation/dp/B0CF3VVTLG/ref=sr_1_6?dib=eyJ2IjoiMSJ9.sH279KQkQ1iFsY7p5X2l8qovWZzYCSDlp3a0ud5chXkYWctVPcxd4vHPPij8-RAvz4kouiQV4Ls_b_wnzQgwZgvjMjtVJHHi1jILvP9Jww406O05uXf6nmT5oSTVO-D2mPIxAIfsJS5UsLgxqBl8bXKJmTh3hyWS72sxxTsAkSNwoXGzJGPREapQ74XIC5tXojc5O0Iw3TVoA67Eq4FY-VYhAUwQFlOlce3hwoKXsr49O5PnBdKmjz6zWEe_OrkCyAeUZVbfqHDL00z2Hwvfzy_kOUARlIzh1V5pzDBUwVQ.kzBY0C3vkobi0PcGgYsewhroWfeHjiYftCffsF726M0&dib_tag=se&qid=1752657317&s=electronics&sr=1-6&srs=4551203031,False,2025-07-16 11:15:22.090559,"['High-Tech', 'Photo et caméscopes', 'Caméras embarquées']",6 septembre 2023,"GoPro HERO12 Black - Caméra d'action étanche avec vidéo Ultra HD 5.3K60, Photos 27MP, HDR, capteur d'image 1/1.9"", Diffusion en Direct, Webcam, stabilisation",1 194 en High-Tech ( Voir les 100 premiers en High-Tech ),8 en Caméras embarquées
"DJI Bundle Osmo Action 4 Standard - Caméra d’Action étanche 4K/120 IPS avec capteur 1/1,3 Pouce, des Images saisissantes en Basse lumière, des Couleurs D-Log M 10 Bits, Batterie 1 770 mAh prolongée",199.0,4.4,4308.0,200.0,https://m.media-amazon.com/images/I/61EtBLmDDaL._AC_UL320_.jpg,https://www.amazon.fr/DJI-Standard-saisissantes-Couleurs-prolong%C3%A9e/dp/B0C783YNW7/ref=sr_1_7?dib=eyJ2IjoiMSJ9.sH279KQkQ1iFsY7p5X2l8qovWZzYCSDlp3a0ud5chXkYWctVPcxd4vHPPij8-RAvz4kouiQV4Ls_b_wnzQgwZgvjMjtVJHHi1jILvP9Jww406O05uXf6nmT5oSTVO-D2mPIxAIfsJS5UsLgxqBl8bXKJmTh3hyWS72sxxTsAkSNwoXGzJGPREapQ74XIC5tXojc5O0Iw3TVoA67Eq4FY-VYhAUwQFlOlce3hwoKXsr49O5PnBdKmjz6zWEe_OrkCyAeUZVbfqHDL00z2Hwvfzy_kOUARlIzh1V5pzDBUwVQ.kzBY0C3vkobi0PcGgYsewhroWfeHjiYftCffsF726M0&dib_tag=se&qid=1752657317&s=electronics&sr=1-7&srs=4551203031,False,2025-07-16 11:15:22.090899,"['High-Tech', 'Photo et caméscopes', 'Caméras embarquées']",2 août 2023,"DJI Bundle Osmo Action 4 Standard - Caméra d’Action étanche 4K/120 IPS avec capteur 1/1,3 Pouce, des Images saisissantes en Basse lumière, des Couleurs D-Log M 10 Bits, Batterie 1 770 mAh prolongée",625 en High-Tech ( Voir les 100 premiers en High-Tech ),3 en Caméras embarquées
"Garmin – Forerunner 55 - Montre GPS multi-activités running avec fonctions d’entrainement Garmin Coach et cardio au poignet – Blanche, Whitestone",0.0,4.5,1426.0,500.0,https://m.media-amazon.com/images/I/51O-7CDSSML._AC_UL320_.jpg,https://www.amazon.fr/Garmin-Forerunner-multi-activit%C3%A9s-fonctions-dentrainement/dp/B0953XKD13/ref=sr_1_8?dib=eyJ2IjoiMSJ9.sH279KQkQ1iFsY7p5X2l8qovWZzYCSDlp3a0ud5chXkYWctVPcxd4vHPPij8-RAvz4kouiQV4Ls_b_wnzQgwZgvjMjtVJHHi1jILvP9Jww406O05uXf6nmT5oSTVO-D2mPIxAIfsJS5UsLgxqBl8bXKJmTh3hyWS72sxxTsAkSNwoXGzJGPREapQ74XIC5tXojc5O0Iw3TVoA67Eq4FY-VYhAUwQFlOlce3hwoKXsr49O5PnBdKmjz6zWEe_OrkCyAeUZVbfqHDL00z2Hwvfzy_kOUARlIzh1V5pzDBUwVQ.kzBY0C3vkobi0PcGgYsewhroWfeHjiYftCffsF726M0&dib_tag=se&qid=1752657317&s=electronics&sr=1-8&srs=4551203031,False,2025-07-16 11:15:22.091359,"['Sports et Loisirs', 'Électronique', 'GPS', 'GPS de running']",16 juin 2021,"Garmin – Forerunner 55 - Montre GPS multi-activités running avec fonctions d’entrainement Garmin Coach et cardio au poignet – Blanche, Whitestone",44 en Sports et Loisirs ( Voir les 100 premiers en Sports et Loisirs ),1 en GPS de running
"DJI Bundle Aventure Osmo Action 5 Pro, Caméra d’Action 4K avec Capteur 1/1,3"", 12 h d’Autonomie Étendue avec 3 Batt., Stabilisation, Double Écran Tactile OLED, Mini Caméra d’Action pour Voyage, Vlog",389.0,4.5,1709.0,100.0,https://m.media-amazon.com/images/I/71FdBD3y0rL._AC_UL320_.jpg,https://www.amazon.fr/DJI-Aventure-dAction-dAutonomie-Stabilisation/dp/B07FW4CZZL/ref=sr_1_9?dib=eyJ2IjoiMSJ9.sH279KQkQ1iFsY7p5X2l8qovWZzYCSDlp3a0ud5chXkYWctVPcxd4vHPPij8-RAvz4kouiQV4Ls_b_wnzQgwZgvjMjtVJHHi1jILvP9Jww406O05uXf6nmT5oSTVO-D2mPIxAIfsJS5UsLgxqBl8bXKJmTh3hyWS72sxxTsAkSNwoXGzJGPREapQ74XIC5tXojc5O0Iw3TVoA67Eq4FY-VYhAUwQFlOlce3hwoKXsr49O5PnBdKmjz6zWEe_OrkCyAeUZVbfqHDL00z2Hwvfzy_kOUARlIzh1V5pzDBUwVQ.kzBY0C3vkobi0PcGgYsewhroWfeHjiYftCffsF726M0&dib_tag=se&qid=1752657317&s=electronics&sr=1-9&srs=4551203031,False,2025-07-16 11:15:22.091732,"['High-Tech', 'Photo et caméscopes', 'Caméras embarquées']",19 septembre 2024,"DJI Bundle Aventure Osmo Action 5 Pro, Caméra d’Action 4K avec Capteur 1/1,3"", 12 h d’Autonomie Étendue avec 3 Batt., Stabilisation, Double Écran Tactile OLED, Mini Caméra d’Action pour Voyage, Vlog",3 826 en High-Tech ( Voir les 100 premiers en High-Tech ),20 en Caméras embarquées
"DJI Bundle Osmo Action 4 Essentiel - Caméra d’Action étanche 4K/120 IPS avec capteur 1/1,3 Pouce, des Images saisissantes en Basse lumière, des Couleurs D-Log M 10 Bits, Batterie 1 770 mAh prolongée",189.0,4.4,4308.0,200.0,https://m.media-amazon.com/images/I/61FTIqUHGJL._AC_UL320_.jpg,https://www.amazon.fr/DJI-Bundle-Osmo-Action-Essentiel/dp/B0DS2B3P2B/ref=sr_1_10?dib=eyJ2IjoiMSJ9.sH279KQkQ1iFsY7p5X2l8qovWZzYCSDlp3a0ud5chXkYWctVPcxd4vHPPij8-RAvz4kouiQV4Ls_b_wnzQgwZgvjMjtVJHHi1jILvP9Jww406O05uXf6nmT5oSTVO-D2mPIxAIfsJS5UsLgxqBl8bXKJmTh3hyWS72sxxTsAkSNwoXGzJGPREapQ74XIC5tXojc5O0Iw3TVoA67Eq4FY-VYhAUwQFlOlce3hwoKXsr49O5PnBdKmjz6zWEe_OrkCyAeUZVbfqHDL00z2Hwvfzy_kOUARlIzh1V5pzDBUwVQ.kzBY0C3vkobi0PcGgYsewhroWfeHjiYftCffsF726M0&dib_tag=se&qid=1752657317&s=electronics&sr=1-10&srs=4551203031,False,2025-07-16 11:15:22.092136,"['High-Tech', 'Photo et caméscopes', 'Caméras embarquées']",24 février 2025,"DJI Bundle Osmo Action 4 Essentiel - Caméra d’Action étanche 4K/120 IPS avec capteur 1/1,3 Pouce, des Images saisissantes en Basse lumière, des Couleurs D-Log M 10 Bits, Batterie 1 770 mAh prolongée",2 011 en High-Tech ( Voir les 100 premiers en High-Tech ),14 en Caméras embarquées
